corpus,language,collection,AvgFan,MaxFan,AvgMaxDepth,AvgDepDist,MaxDepDist,AvgOutdegreeCentralization,AvgClosenessCentralization
not-human,German,,2.1265987513372826,90.0,4.092406998471208,1.983271372969025,42.22580645161289,0.6450592657431343,0.3999454504009596
not-human_cq,German,,2.10934075850156,58.0,4.125068809864582,1.982684742293177,24.5,0.5326887966484702,0.3982564860434915
not-human_pq,German,,2.150345255644348,90.0,4.114187080926774,2.0028601871588445,42.08,0.6122601051476154,0.3998664946574999
not-human_whq,German,,2.087503405685224,86.0,3.974286254490452,1.9284901398980228,42.22580645161289,0.9314488907832436,0.4032291920626947
pq,German,,2.158336886993604,90.0,3.9499115751041134,1.9183318279132224,42.08,0.600965067443947,0.4061357877113125
small,German,,2.135700860055818,25.0,3.751796631985413,1.8335096544160048,16.07894736842105,0.6615905549537889,0.4228672518262434
small_biomedical,German,,2.12287831699737,25.0,3.685678749111585,1.7659080941504233,16.07894736842105,0.6593419501806111,0.4265323001096119
small_biomedical_cq,German,,2.1317661614599444,23.0,3.7384615384615385,1.8006900672638215,9.657142857142857,0.6312755394696866,0.4210875579522594
small_biomedical_pq,German,,2.118738229755179,22.0,3.650068212824011,1.7304836668117265,16.07894736842105,0.7033661407771155,0.4314543335059746
small_biomedical_whq,German,,2.119352311308436,25.0,3.7007952286282304,1.8107220965315505,14.488888888888884,0.5781822158590517,0.4218603970176421
small_cq,German,,2.1249208502939845,23.0,3.843102215868477,1.8746835204745047,9.657142857142857,0.6645648202188099,0.4142314381327503
small_general,German,,2.1545883512923445,23.0,3.852503382949932,1.936476252839468,11.77777777777778,0.665015493428334,0.4177474408442158
small_general_cq,German,,2.1152756591850075,14.0,4.002707581227437,1.987543570949284,8.413793103448274,0.7153399867043863,0.4049513622112601
small_general_pq,German,,2.1723081209082045,19.0,3.766141331977631,1.896202123151998,11.22222222222222,0.5994189689223505,0.4273686347605424
small_general_whq,German,,2.176470588235294,23.0,3.858064516129032,1.9729869377258829,11.77777777777778,0.7831910178693082,0.4123959499387276
small_pq,German,,2.14034496320018,22.0,3.6966727903653807,1.7970213691226702,16.07894736842105,0.6616302585484316,0.4297440071650255
small_whq,German,,2.1415335463258787,25.0,3.760762607626076,1.8725942992009763,14.488888888888884,0.6563528537719416,0.4180785328698523
whq,German,,2.0710039212379305,86.0,3.788439681766521,1.7953608070647016,42.22580645161289,0.855146772181455,0.4079847366961809
